route_id,route_short_name,route_long_name
6612,002,Macdonald/Burrard Station
6613,003,Main/Waterfront Station
6614,004,Powell/Downtown/UBC
6615,005,Robson/Downtown
6616,006,Davie/Downtown
6617,007,Nanaimo Station/Dunbar
6618,008,Fraser/Waterfront Station
6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC
6620,010,Granville/Waterfront Station
16718,014,Hastings/UBC
6621,015,Cambie/Olympic Village Station
6622,016,29th Avenue Station/Arbutus
6623,017,Downtown/Oak
6624,019,Metrotown Station/Stanley Park
6625,020,Victoria/Downtown
6626,022,Knight/Downtown
30055,023,Main St Station/English Bay
6627,025,Brentwood Station/UBC
6628,026,Joyce Station/29th Avenue Station
6629,027,Kootenay Loop/Joyce Station
6630,028,Phibbs Exchange/Joyce Station
6631,029,Elliott/29th Avenue Station
39304,031,Metrotown Station/River District
11201,033,29th Avenue Station/UBC
6633,041,Joyce Station/Crown
6635,044,UBC/Downtown
6636,049,Metrotown Station/Dunbar Loop/UBC
6637,050,Waterfront Station/False Creek South
33538,068,UBC Exchange/Wesbrook Village
45596,080,Marine Dr Station/River District
6638,084,UBC/VCC-Clark Station
6641,099,Commercial-Broadway/UBC (B-Line)
6642,100,22nd St Station/Marpole Loop
6643,101,Lougheed Station/22nd St Station
46099,102,New Westminster Station/Victoria  Hill
6790,103,New Westminster Station/Quayside
6644,104,22nd St Station/Annacis Island
6796,105,Uptown/New Westminster Station
6645,106,New Westminster Station/Edmonds Station
16719,109,New Westminster Station/Lougheed Station
6646,110,Lougheed Station/Metrotown Station
6647,112,Edmonds Station/New West Station
6648,116,Edmonds Station/Metrotown Station
32799,119,Edmonds Station/Metrotown Station
6649,123,New West Station/Brentwood Station
6662,128,Braid Station/22nd Street Station
6650,129,Patterson Station/Holdom Station
6651,130,Metrotown/Pender/Kootenay
6776,131,Hastings @ Gilmore/Kootenay Loop
7322,132,Capitol Hill/Hastings @ Gilmore
33292,133,Holdom Station/Edmonds Station
6652,134,Lake City Station/Brentwood Station
6654,136,Lougheed Station/Brentwood Station
6656,143,Burquitlam Station/SFU
6657,144,SFU/Metrotown Station
6658,145,SFU/Production Station
6811,146,Metrotown Station/Suncrest
6817,147,Metrotown Station/Edmonds Station
6806,148,Royal Oak Station/Edmonds Station
6659,151,Coquitlam Central Station/Burquitlam Station
6660,152,Coquitlam Central Station/Lougheed Station
6661,153,Coquitlam Central Station/Braid Station
6663,155,Braid Station/22nd Street  Station
6664,156,Braid Station/Lougheed Station
6665,157,Burquitlam Station/Lougheed Station
6666,159,Coquitlam Central Station/Braid Station
6667,160,Port Coquitlam Station/Kootenay Loop
6668,169,Coquitlam Central Station/Braid Station
30036,170,Port Coquitlam Station/Port Coquitlam South
30037,171,Coquitlam Central Station/Fremont
30038,172,Coquitlam Central Station/Riverside
30039,173,Coquitlam Central Station/Cedar
30040,174,Coquitlam Central Station/Rocklin
30041,175,Coquitlam Central Station/Meridian
30043,180,Moody Centre Station/Lougheed Station
30044,181,Moody Centre Station/Ioco
30045,182,Moody Centre Station/Belcarra
30046,183,Moody Centre Station/Coquitlam Central Station
30047,184,Moody Centre Station/Noons Creek
30048,185,Coquitlam Central Station/Lansdowne
30049,186,Coquitlam Central Station/Hampton Park
30050,187,Coquitlam Central Station/Parkway Blvd
22638,188,Coquitlam Central Station/Port Coquitlam Station
30051,189,Coquitlam Central Station/Lafarge Park
30584,191,Coquitlam Central Station/Princeton
16717,209,Upper Lynn Valley/Burrard Station
6672,210,Upper Lynn Valley/Burrard Station
6673,211,Seymour/Phibbs Exchange/Burrard Station
6674,212,Deep Cove/Phibbs Exchange
6675,214,Blueridge/Phibbs Exchange/Burrard Station
6780,215,Indian River/Phibbs Exchange
39305,222,Metrotown Station/Phibbs Exchange
22639,227,Lynn Valley/Phibbs Exchange
6676,228,Lynn Valley/Lonsdale Quay
6677,229,Lynn Valley/Lonsdale Quay
6678,230,Upper Lonsdale/Lonsdale Quay
18213,231,Harbourside/Lonsdale Quay
6679,232,Grouse Mountain/Phibbs Exchange
6680,236,Grouse Mountain/Lonsdale Quay
6682,240,Lynn Valley/Downtown
6683,241,Upper Lonsdale/Downtown
39307,245,Phibbs/Capilano
6685,246,Highland/Downtown
6686,247,Grouse Mountain/Downtown
36799,249,Lonsdale Quay/Delbrook
6687,250,Horseshoe Bay/Dundarave/Vancouver
6688,251,Queens/Park Royal
6689,252,Inglewood/Park Royal
6690,253,Caulfeild/Vancouver/Park Royal
6691,254,British Properties/Park Royal/Van
6692,255,Dundarave/Capilano University
10232,256,Whitby Estate/Park Royal/Spuraway
6693,257,Horseshoe Bay/Vancouver Express
6779,262,Lions Bay/Caulfeild
6777,280,Bluewater/Snug Cove
6778,281,Eagle Cliff/Snug Cove
34544,282,Mt Gardner/Snug Cove
6698,301,Newton Exchange/Brighouse Station
6822,310,Scottsdale/Ladner
6699,311,Scottsdale/Bridgeport Station
6700,312,Scottsdale/Scott Road Station
6701,314,Surrey Central/Sunbury
6702,316,Surrey Central Station/Scottsdale
6703,319,Scott Station/Newton Exchange/Scottsdale
6704,320,Langley/Fleetwood/Surrey Central Station
6705,321,White Rock/Newton/Surrey Central Station
6821,322,Newton Exchange/Scottsdale
6706,323,Newton Exchange/Surrey Central Station
6707,324,Newton Exchange/Surrey Central Station
6708,325,Newton Exchange/Surrey Central Station
6709,326,Guildford/Surrey Central Station
6710,329,Surrey Central Station/Scottsdale
6712,335,Newton/Surrey Central Station
17707,337,Fraser Heights/Guildford/Surrey Centre
6713,340,Scottsdale/22nd St Station
8290,341,Guildford/Newton Exchange
29038,342,Langley Centre/Newton Exchange
6714,345,King George Station/White Rock Centre
40855,350,White Rock Centre/Crescent Beach
6715,351,White Rock Centre/Bridgeport Station
6716,352,Ocean Park/Bridgeport Station
6717,354,White Rock South/Bridgeport Station
31816,360,Ocean Park/Peace Arch Hospital
31817,361,Ocean Park/White Rock Centre
31818,362,Seaside/White Rock Centre
31819,363,Southpoint/Peace Arch Hospital
11692,364,Langley Centre/Scottsdale
8286,370,Cloverdale/Willowbrook
6818,371,Surrey Central/Scott Rd Station
31820,372,Clayton Heights/Langley Centre
6819,373,Guildford/Surrey Central Station
7321,375,White Rock/White Rock South/Guildford
11693,388,22nd St Station/Carvolth Exchange
6718,391,Scottsdale/Scott Road Station
6719,393,Newton Exchange/Surrey Central Station
6720,394,White Rock/King George Station Express
6721,395,Langley Centre/King George Station
6722,401,Richmond-Brighouse Station/One Road
6723,402,Two Road/Brighouse Station
6724,403,Bridgeport Station/Three Road
6725,404,Four Road/Brighouse Station
6726,405,Five Road/Cambie
34542,406,Richmond Brighouse Station/Steveston
6727,407,Gilbert/Bridgeport
34543,408,Brighouse/Ironwood/Riverport
6728,410,Richmond-Brighouse Station/22nd St Station
6827,412,Bridgeport Station/Sea Island South
6828,413,Riverport/Steveston
13684,414,Richmond Oval/Brighouse Station
6829,416,East Cambie/Brighouse Station
9745,418,Kingswood/22nd St Station
6730,430,Metrotown/Brighouse Station
6737,501,Langley Centre/Surrey Central Station
6738,502,Langley Centre/Surrey Central Station
23384,503,Aldergrove/Surrey Central Station
6739,509,Walnut Grove/Surrey Central Station
18705,531,White Rock Centre/Willowbrook
20667,555,Carvolth Exchange/Lougheed Station
34044,560,Murrayville/Langley Centre
34045,561,Langley Centre/Brookswood
6814,562,Langley Centre/Walnut Grove
6815,563,Langley Centre/Fernridge
6816,564,Langley Centre/Willowbrook
12940,595,Maple Meadows Station/Langley Centre
6741,601,South Delta/Boundary Bay/Bridgeport
6742,602,Tsawwassen Heights/Bridgeport
6743,603,Beach Grove/Bridgeport
6744,604,English Bluff/Bridgeport
6745,606,Ladner Ring
6746,608,Ladner Ring
11696,609,Tsawwassen First Nation/South Delta
6843,614,English Bluff/South Delta Exchange
6823,616,Ladner South/Ladner Exchange
6825,618,Ladner North/Ladner Exchange
6844,619,Boundary Bay/South Delta Recreation Centre
6747,620,Tsawwassen Ferry/Bridgeport Station
6748,640,Ladner Exchange/Scott Road Station
6749,701,Haney/Maple Ridge East/Coquitlam Station
34540,719,Meadowtown/Fraser Way
34541,722,Meadowtown/Bonson
31821,733,Rock Ridge/Haney Place/Port Haney Station
31822,741,Anderson Creek/Haney Place/Port Haney St
6799,743,Haney Place/Maple Meadows Station/Meadowtown
6800,744,Haney Place/Maple Meadows Station/Meadowtown
34042,745,Haney Place/Cottonwood
34043,746,Haney Place/Albion
6804,748,Thornhill/Haney Place
6805,749,Ruskin/Haney Place
7224,791,Haney Place/Braid Station
29040,840,Brookswood School
6753,848,Port Moody Secondary School
6754,855,Elgin Park School Special
6755,861,Riverside School
6757,863,Terry Fox/Arch Carney
29039,864,Lord Tweedsmuir School
8289,865,Samuel Robertson
6761,880,Windsor School Specials
6762,881,Carson Graham School Specials
6830,N10,Downtown/Richmond NightBus
6831,N15,Downtown/Cambie NightBus
6833,N17,Downtown/UBC NightBus
6834,N19,Downtown/Surrey Central Station NightBus
6835,N20,Downtown/Victoria NightBus
6836,N22,Downtown/Macdonald NightBus
6837,N24,Downtown/Lynn Valley NightBus
6838,N35,Downtown/SFU NightBus
6840,N8,Downtown/Fraser NightBus
6841,N9,Downtown/Lougheed Station/Coquitlam Central Station
37808,R1,King George Blvd
38311,R2,Marine Dr
37809,R3,Lougheed Hwy
37810,R4,41st Ave
37807,R5,Hastings St
46604,R6,Scott Rd
6770,WCE,West Coast Express
13686,,Canada Line
30052,,Millennium Line
30053,,Expo Line
6771,,SeaBus
